Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2014 12:00:00 AM,Rail Containers Full,42591,24612
US-Canada Border,06/01/2014 12:00:00 AM,Train Passengers,40274,20469
US-Mexico Border,06/01/2014 12:00:00 AM,Rail Containers Empty,37213,28561
US-Mexico Border,06/01/2014 12:00:00 AM,Buses,17433,20671
US-Canada Border,06/01/2014 12:00:00 AM,Buses,11481,12078
US-Canada Border,06/01/2014 12:00:00 AM,Trains,2440,2588
US-Mexico Border,06/01/2014 12:00:00 AM,Train Passengers,997,1056
US-Mexico Border,06/01/2014 12:00:00 AM,Trains,844,684
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,10752775,14681332
US-Mexico Border,05/01/2014 12:00:00 AM,Personal Vehicles,5909610,6610400
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicle Passengers,5121265,5827986
US-Mexico Border,05/01/2014 12:00:00 AM,Pedestrians,3486494,3728862
US-Canada Border,05/01/2014 12:00:00 AM,Personal Vehicles,2800323,2719244
US-Canada Border,05/01/2014 12:00:00 AM,Trucks,503633,516618
US-Mexico Border,05/01/2014 12:00:00 AM,Trucks,474277,374718
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Full,379717,383484
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Full,341856,227202
US-Canada Border,05/01/2014 12:00:00 AM,Bus Passengers,270619,294269
US-Mexico Border,05/01/2014 12:00:00 AM,Bus Passengers,248796,259917
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Full,139574,100986
US-Mexico Border,05/01/2014 12:00:00 AM,Truck Containers Empty,128649,140315
US-Canada Border,05/01/2014 12:00:00 AM,Truck Containers Empty,121062,79377
US-Canada Border,05/01/2014 12:00:00 AM,Rail Containers Empty,73214,39821
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Full,43652,24526
US-Canada Border,05/01/2014 12:00:00 AM,Pedestrians,39591,48719
US-Mexico Border,05/01/2014 12:00:00 AM,Rail Containers Empty,38438,28516
US-Canada Border,05/01/2014 12:00:00 AM,Train Passengers,26823,20440
US-Mexico Border,05/01/2014 12:00:00 AM,Buses,17705,20685
US-Canada Border,05/01/2014 12:00:00 AM,Buses,10919,12084
US-Canada Border,05/01/2014 12:00:00 AM,Trains,2643,2588
US-Mexico Border,05/01/2014 12:00:00 AM,Train Passengers,998,1056
US-Mexico Border,05/01/2014 12:00:00 AM,Trains,858,684
US-Mexico Border,04/01/2014 12:00:00 AM,Personal Vehicle Passengers,10664973,14699672
US-Mexico Border,04/01/2014 12:00:00 AM,Personal Vehicles,5725123,6614443
US-Canada Border,04/01/2014 12:00:00 AM,Personal Vehicle Passengers,4504362,5834030
US-Mexico Border,04/01/2014 12:00:00 AM,Pedestrians,3469375,3730047
US-Canada Border,04/01/2014 12:00:00 AM,Personal Vehicles,2462952,2720415
US-Canada Border,04/01/2014 12:00:00 AM,Trucks,496986,516708
US-Mexico Border,04/01/2014 12:00:00 AM,Trucks,468263,374291
US-Canada Border,04/01/2014 12:00:00 AM,Truck Containers Full,335656,383703
US-Mexico Border,04/01/2014 12:00:00 AM,Truck Containers Full,334269,226713
US-Mexico Border,04/01/2014 12:00:00 AM,Bus Passengers,236353,260024
US-Canada Border,04/01/2014 12:00:00 AM,Bus Passengers,179223,294795
US-Canada Border,04/01/2014 12:00:00 AM,Rail Containers Full,128361,100861
US-Mexico Border,04/01/2014 12:00:00 AM,Truck Containers Empty,126745,140377
US-Canada Border,04/01/2014 12:00:00 AM,Truck Containers Empty,103739,79266
US-Canada Border,04/01/2014 12:00:00 AM,Rail Containers Empty,69731,39684
US-Mexico Border,04/01/2014 12:00:00 AM,Rail Containers Empty,37045,28477
US-Mexico Border,04/01/2014 12:00:00 AM,Rail Containers Full,36993,24469
US-Canada Border,04/01/2014 12:00:00 AM,Pedestrians,28868,48809
US-Mexico Border,04/01/2014 12:00:00 AM,Buses,17739,20698
US-Canada Border,04/01/2014 12:00:00 AM,Train Passengers,14735,20466
US-Canada Border,04/01/2014 12:00:00 AM,Buses,7866,12103
US-Canada Border,04/01/2014 12:00:00 AM,Trains,2403,2589
US-Mexico Border,04/01/2014 12:00:00 AM,Train Passengers,810,1058
US-Mexico Border,04/01/2014 12:00:00 AM,Trains,792,683
US-Mexico Border,03/01/2014 12:00:00 AM,Personal Vehicle Passengers,10770574,14717695
US-Mexico Border,03/01/2014 12:00:00 AM,Personal Vehicles,5871236,6617852
US-Canada Border,03/01/2014 12:00:00 AM,Personal Vehicle Passengers,4446192,5840396
US-Mexico Border,03/01/2014 12:00:00 AM,Pedestrians,3708458,3730146
US-Canada Border,03/01/2014 12:00:00 AM,Personal Vehicles,2356327,2722085
US-Canada Border,03/01/2014 12:00:00 AM,Trucks,494908,516808
US-Mexico Border,03/01/2014 12:00:00 AM,Trucks,467828,373862
US-Canada Border,03/01/2014 12:00:00 AM,Truck Containers Full,370215,383764
US-Mexico Border,03/01/2014 12:00:00 AM,Truck Containers Full,335320,226215
US-Mexico Border,03/01/2014 12:00:00 AM,Bus Passengers,225340,260183
US-Canada Border,03/01/2014 12:00:00 AM,Rail Containers Full,133196,100713
US-Canada Border,03/01/2014 12:00:00 AM,Bus Passengers,132912,295537
US-Mexico Border,03/01/2014 12:00:00 AM,Truck Containers Empty,129838,140425
US-Canada Border,03/01/2014 12:00:00 AM,Truck Containers Empty,117023,79093
US-Canada Border,03/01/2014 12:00:00 AM,Rail Containers Empty,64003,39573
US-Mexico Border,03/01/2014 12:00:00 AM,Rail Containers Full,41051,24393
US-Mexico Border,03/01/2014 12:00:00 AM,Rail Containers Empty,37412,28436
US-Mexico Border,03/01/2014 12:00:00 AM,Buses,19868,20702
US-Canada Border,03/01/2014 12:00:00 AM,Pedestrians,16327,48958
US-Canada Border,03/01/2014 12:00:00 AM,Train Passengers,13625,20497
US-Canada Border,03/01/2014 12:00:00 AM,Buses,6529,12128
US-Canada Border,03/01/2014 12:00:00 AM,Trains,2283,2590
US-Mexico Border,03/01/2014 12:00:00 AM,Train Passengers,821,1059
US-Mexico Border,03/01/2014 12:00:00 AM,Trains,820,682
US-Mexico Border,02/01/2014 12:00:00 AM,Personal Vehicle Passengers,9302310,14742651
US-Mexico Border,02/01/2014 12:00:00 AM,Personal Vehicles,5122080,6624745
US-Canada Border,02/01/2014 12:00:00 AM,Personal Vehicle Passengers,3514880,5851113
US-Mexico Border,02/01/2014 12:00:00 AM,Pedestrians,3227472,3732463
US-Canada Border,02/01/2014 12:00:00 AM,Personal Vehicles,1946939,2725657
US-Canada Border,02/01/2014 12:00:00 AM,Trucks,444749,517140
US-Mexico Border,02/01/2014 12:00:00 AM,Trucks,422277,373639
US-Canada Border,02/01/2014 12:00:00 AM,Truck Containers Full,332464,384001
US-Mexico Border,02/01/2014 12:00:00 AM,Truck Containers Full,302225,225865
US-Mexico Border,02/01/2014 12:00:00 AM,Bus Passengers,161349,260639
US-Mexico Border,02/01/2014 12:00:00 AM,Truck Containers Empty,122777,140507
US-Canada Border,02/01/2014 12:00:00 AM,Rail Containers Full,117762,100634
US-Canada Border,02/01/2014 12:00:00 AM,Bus Passengers,111190,296387
US-Canada Border,02/01/2014 12:00:00 AM,Truck Containers Empty,108834,78956
US-Canada Border,02/01/2014 12:00:00 AM,Rail Containers Empty,52968,39511
US-Mexico Border,02/01/2014 12:00:00 AM,Rail Containers Full,36238,24338
US-Mexico Border,02/01/2014 12:00:00 AM,Rail Containers Empty,32305,28418
US-Mexico Border,02/01/2014 12:00:00 AM,Buses,14414,20731
US-Canada Border,02/01/2014 12:00:00 AM,Pedestrians,11364,49132
US-Canada Border,02/01/2014 12:00:00 AM,Train Passengers,11266,20540
US-Canada Border,02/01/2014 12:00:00 AM,Buses,5919,12157
US-Canada Border,02/01/2014 12:00:00 AM,Trains,2103,2592
US-Mexico Border,02/01/2014 12:00:00 AM,Trains,720,682
US-Mexico Border,02/01/2014 12:00:00 AM,Train Passengers,703,1060
US-Mexico Border,01/01/2014 12:00:00 AM,Personal Vehicle Passengers,10445970,14762543
US-Mexico Border,01/01/2014 12:00:00 AM,Personal Vehicles,5620062,6629396
US-Canada Border,01/01/2014 12:00:00 AM,Personal Vehicle Passengers,3725920,5860952
US-Mexico Border,01/01/2014 12:00:00 AM,Pedestrians,3578512,3733176
US-Canada Border,01/01/2014 12:00:00 AM,Personal Vehicles,2105364,2728529
US-Canada Border,01/01/2014 12:00:00 AM,Trucks,459050,517409
US-Mexico Border,01/01/2014 12:00:00 AM,Trucks,443209,373317
US-Canada Border,01/01/2014 12:00:00 AM,Truck Containers Full,340521,384202
US-Mexico Border,01/01/2014 12:00:00 AM,Truck Containers Full,307934,225485
US-Mexico Border,01/01/2014 12:00:00 AM,Bus Passengers,230588,260778
US-Mexico Border,01/01/2014 12:00:00 AM,Truck Containers Empty,136366,140526
US-Canada Border,01/01/2014 12:00:00 AM,Rail Containers Full,123695,100527
US-Canada Border,01/01/2014 12:00:00 AM,Truck Containers Empty,114561,78791
US-Canada Border,01/01/2014 12:00:00 AM,Bus Passengers,110227,297249
US-Canada Border,01/01/2014 12:00:00 AM,Rail Containers Empty,59394,39419
US-Mexico Border,01/01/2014 12:00:00 AM,Rail Containers Empty,33695,28394
US-Mexico Border,01/01/2014 12:00:00 AM,Rail Containers Full,31842,24303
US-Mexico Border,01/01/2014 12:00:00 AM,Buses,16793,20749
US-Canada Border,01/01/2014 12:00:00 AM,Train Passengers,12983,20575
US-Canada Border,01/01/2014 12:00:00 AM,Pedestrians,12681,49300
US-Canada Border,01/01/2014 12:00:00 AM,Buses,6299,12184
US-Canada Border,01/01/2014 12:00:00 AM,Trains,2356,2594
US-Mexico Border,01/01/2014 12:00:00 AM,Train Passengers,855,1061
US-Mexico Border,01/01/2014 12:00:00 AM,Trains,751,682
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14776739
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,6632322
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,5866101
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3731989
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2729478
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,517895
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,373199
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,384593
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,260807
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,225448
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,297967
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,100433
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,140755
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,78735
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,39346
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,28363
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,24261
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,20758
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,20599
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,49465
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,12211
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2595
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,681
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,1065
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,10277332,14797764
US-Mexico Border,11/01/2013 12:00:00 AM,Personal Vehicles,5537245,6637439
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicle Passengers,4651280,5871778
US-Mexico Border,11/01/2013 12:00:00 AM,Pedestrians,3602599,3732593
US-Canada Border,11/01/2013 12:00:00 AM,Personal Vehicles,2548543,2730324
US-Canada Border,11/01/2013 12:00:00 AM,Trucks,462484,518154
US-Mexico Border,11/01/2013 12:00:00 AM,Trucks,428552,372940
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Full,333243,384833
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Full,296073,225118
US-Mexico Border,11/01/2013 12:00:00 AM,Bus Passengers,193986,261120
US-Canada Border,11/01/2013 12:00:00 AM,Bus Passengers,167570,298576
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Full,135455,100269
US-Mexico Border,11/01/2013 12:00:00 AM,Truck Containers Empty,130228,140804
US-Canada Border,11/01/2013 12:00:00 AM,Truck Containers Empty,99321,78639
US-Canada Border,11/01/2013 12:00:00 AM,Rail Containers Empty,61616,39242
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Full,39368,24190
US-Mexico Border,11/01/2013 12:00:00 AM,Rail Containers Empty,37235,28322
US-Canada Border,11/01/2013 12:00:00 AM,Pedestrians,18442,49610
US-Mexico Border,11/01/2013 12:00:00 AM,Buses,16874,20776
US-Canada Border,11/01/2013 12:00:00 AM,Train Passengers,12060,20639
US-Canada Border,11/01/2013 12:00:00 AM,Buses,7378,12234
US-Canada Border,11/01/2013 12:00:00 AM,Trains,2537,2595
US-Mexico Border,11/01/2013 12:00:00 AM,Trains,826,681
US-Mexico Border,11/01/2013 12:00:00 AM,Train Passengers,368,1068
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,10130991,14819673
US-Mexico Border,10/01/2013 12:00:00 AM,Personal Vehicles,5664079,6642009
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicle Passengers,4973878,5875993
US-Mexico Border,10/01/2013 12:00:00 AM,Pedestrians,3487688,3733743
US-Canada Border,10/01/2013 12:00:00 AM,Personal Vehicles,2773546,2730121
US-Canada Border,10/01/2013 12:00:00 AM,Trucks,514270,518172
US-Mexico Border,10/01/2013 12:00:00 AM,Trucks,469158,372489
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Full,391138,384804
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Full,294027,224794
US-Canada Border,10/01/2013 12:00:00 AM,Bus Passengers,208097,299001
US-Mexico Border,10/01/2013 12:00:00 AM,Bus Passengers,182523,261488
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Full,140829,100079
US-Mexico Border,10/01/2013 12:00:00 AM,Truck Containers Empty,128175,140863
US-Canada Border,10/01/2013 12:00:00 AM,Truck Containers Empty,118282,78453
US-Canada Border,10/01/2013 12:00:00 AM,Rail Containers Empty,70104,39097
US-Canada Border,10/01/2013 12:00:00 AM,Pedestrians,51919,49599
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Full,40147,24115
US-Mexico Border,10/01/2013 12:00:00 AM,Rail Containers Empty,38397,28274
US-Mexico Border,10/01/2013 12:00:00 AM,Buses,16769,20795
US-Canada Border,10/01/2013 12:00:00 AM,Train Passengers,15550,20663
US-Canada Border,10/01/2013 12:00:00 AM,Buses,8818,12250
US-Canada Border,10/01/2013 12:00:00 AM,Trains,2661,2595
US-Mexico Border,10/01/2013 12:00:00 AM,Trains,836,680
US-Mexico Border,10/01/2013 12:00:00 AM,Train Passengers,361,1071
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,9778521,14843453
US-Mexico Border,09/01/2013 12:00:00 AM,Personal Vehicles,5389491,6647917
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicle Passengers,5109950,5879607
US-Mexico Border,09/01/2013 12:00:00 AM,Pedestrians,3196087,3736279
US-Canada Border,09/01/2013 12:00:00 AM,Personal Vehicles,2841765,2729594
US-Canada Border,09/01/2013 12:00:00 AM,Trucks,477120,518366
US-Mexico Border,09/01/2013 12:00:00 AM,Trucks,405484,372333
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Full,352489,384956
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Full,273471,224565
US-Canada Border,09/01/2013 12:00:00 AM,Bus Passengers,230454,299324
US-Mexico Border,09/01/2013 12:00:00 AM,Bus Passengers,177670,261884
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Full,128150,99946
US-Mexico Border,09/01/2013 12:00:00 AM,Truck Containers Empty,127800,140925
US-Canada Border,09/01/2013 12:00:00 AM,Truck Containers Empty,121839,78248
US-Canada Border,09/01/2013 12:00:00 AM,Rail Containers Empty,63775,38981
US-Canada Border,09/01/2013 12:00:00 AM,Pedestrians,43243,49629
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Full,38311,24048
US-Mexico Border,09/01/2013 12:00:00 AM,Rail Containers Empty,32453,28255
US-Canada Border,09/01/2013 12:00:00 AM,Train Passengers,29884,20619
US-Mexico Border,09/01/2013 12:00:00 AM,Buses,16168,20817
US-Canada Border,09/01/2013 12:00:00 AM,Buses,10574,12258
US-Canada Border,09/01/2013 12:00:00 AM,Trains,2461,2595
US-Mexico Border,09/01/2013 12:00:00 AM,Trains,793,679
US-Mexico Border,09/01/2013 12:00:00 AM,Train Passengers,294,1075
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,10684253,14863164
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicle Passengers,7807992,5870468
US-Mexico Border,08/01/2013 12:00:00 AM,Personal Vehicles,5971428,6651123
US-Canada Border,08/01/2013 12:00:00 AM,Personal Vehicles,3741358,2724799
US-Mexico Border,08/01/2013 12:00:00 AM,Pedestrians,3491486,3737439
US-Canada Border,08/01/2013 12:00:00 AM,Trucks,476948,518562
US-Mexico Border,08/01/2013 12:00:00 AM,Trucks,435400,372034
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Full,345371,385144
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Full,297249,224220
US-Canada Border,08/01/2013 12:00:00 AM,Bus Passengers,296286,299339
US-Mexico Border,08/01/2013 12:00:00 AM,Bus Passengers,285426,261772
US-Mexico Border,08/01/2013 12:00:00 AM,Truck Containers Empty,139714,140931
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Full,129051,99808
US-Canada Border,08/01/2013 12:00:00 AM,Truck Containers Empty,116257,78068
US-Canada Border,08/01/2013 12:00:00 AM,Pedestrians,75318,49508
US-Canada Border,08/01/2013 12:00:00 AM,Rail Containers Empty,68120,38843
US-Canada Border,08/01/2013 12:00:00 AM,Train Passengers,42588,20515
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Full,40457,23971
US-Mexico Border,08/01/2013 12:00:00 AM,Rail Containers Empty,33324,28231
US-Mexico Border,08/01/2013 12:00:00 AM,Buses,18466,20828
US-Canada Border,08/01/2013 12:00:00 AM,Buses,12400,12257
US-Canada Border,08/01/2013 12:00:00 AM,Trains,2472,2596
US-Mexico Border,08/01/2013 12:00:00 AM,Trains,821,679
US-Mexico Border,08/01/2013 12:00:00 AM,Train Passengers,360,1078
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,10942209,14881836
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicle Passengers,7060369,5864801
US-Mexico Border,07/01/2013 12:00:00 AM,Personal Vehicles,5715252,6655579
US-Canada Border,07/01/2013 12:00:00 AM,Personal Vehicles,3517073,2721026
US-Mexico Border,07/01/2013 12:00:00 AM,Pedestrians,3362500,3739225
US-Canada Border,07/01/2013 12:00:00 AM,Trucks,466391,518810
US-Mexico Border,07/01/2013 12:00:00 AM,Trucks,435699,371731
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Full,329106,385410
US-Mexico Border,07/01/2013 12:00:00 AM,Bus Passengers,328089,261456
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Full,293326,223891
US-Canada Border,07/01/2013 12:00:00 AM,Bus Passengers,250825,299570
US-Mexico Border,07/01/2013 12:00:00 AM,Truck Containers Empty,137411,140948
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Full,121084,99707
US-Canada Border,07/01/2013 12:00:00 AM,Truck Containers Empty,119240,77872
US-Canada Border,07/01/2013 12:00:00 AM,Pedestrians,68814,49416
US-Canada Border,07/01/2013 12:00:00 AM,Rail Containers Empty,64994,38718
US-Canada Border,07/01/2013 12:00:00 AM,Train Passengers,46179,20393
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Full,37972,23904
US-Mexico Border,07/01/2013 12:00:00 AM,Rail Containers Empty,31970,28213
US-Mexico Border,07/01/2013 12:00:00 AM,Buses,19832,20833
US-Canada Border,07/01/2013 12:00:00 AM,Buses,12139,12258
US-Canada Border,07/01/2013 12:00:00 AM,Trains,2397,2597
US-Mexico Border,07/01/2013 12:00:00 AM,Trains,784,678
US-Mexico Border,07/01/2013 12:00:00 AM,Train Passengers,357,1082
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,10083221,14904795
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicle Passengers,5691883,5865629
US-Mexico Border,06/01/2013 12:00:00 AM,Personal Vehicles,5450094,6661347
US-Mexico Border,06/01/2013 12:00:00 AM,Pedestrians,3137218,3742105
US-Canada Border,06/01/2013 12:00:00 AM,Personal Vehicles,3021572,2719588
US-Canada Border,06/01/2013 12:00:00 AM,Trucks,476738,519012
US-Mexico Border,06/01/2013 12:00:00 AM,Trucks,422524,371488
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Full,332533,385663
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Full,283746,223605
US-Canada Border,06/01/2013 12:00:00 AM,Bus Passengers,241095,299850
US-Mexico Border,06/01/2013 12:00:00 AM,Bus Passengers,221979,261645
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Full,123443,99594
US-Canada Border,06/01/2013 12:00:00 AM,Truck Containers Empty,120160,77670
US-Mexico Border,06/01/2013 12:00:00 AM,Truck Containers Empty,117822,141058
US-Canada Border,06/01/2013 12:00:00 AM,Rail Containers Empty,64689,38594
US-Canada Border,06/01/2013 12:00:00 AM,Pedestrians,50744,49409
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Full,40135,23826
US-Canada Border,06/01/2013 12:00:00 AM,Train Passengers,38573,20306
US-Mexico Border,06/01/2013 12:00:00 AM,Rail Containers Empty,30033,28204
US-Mexico Border,06/01/2013 12:00:00 AM,Buses,17491,20849
US-Canada Border,06/01/2013 12:00:00 AM,Buses,11656,12261
US-Canada Border,06/01/2013 12:00:00 AM,Trains,2401,2598
US-Mexico Border,06/01/2013 12:00:00 AM,Trains,759,678
US-Mexico Border,06/01/2013 12:00:00 AM,Train Passengers,352,1085
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,10094092,14927924
US-Mexico Border,05/01/2013 12:00:00 AM,Personal Vehicles,5542514,6666726
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicle Passengers,5144359,5869096
US-Mexico Border,05/01/2013 12:00:00 AM,Pedestrians,3336831,3744054
US-Canada Border,05/01/2013 12:00:00 AM,Personal Vehicles,2860420,2718911
US-Canada Border,05/01/2013 12:00:00 AM,Trucks,495376,519125
US-Mexico Border,05/01/2013 12:00:00 AM,Trucks,462653,371050
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Full,348887,385840
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Full,329269,223097
US-Canada Border,05/01/2013 12:00:00 AM,Bus Passengers,251514,300082
US-Mexico Border,05/01/2013 12:00:00 AM,Bus Passengers,228245,261806
US-Mexico Border,05/01/2013 12:00:00 AM,Truck Containers Empty,137914,141073
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Full,126913,99462
US-Canada Border,05/01/2013 12:00:00 AM,Truck Containers Empty,123881,77448
US-Canada Border,05/01/2013 12:00:00 AM,Rail Containers Empty,65924,38462
US-Canada Border,05/01/2013 12:00:00 AM,Pedestrians,40091,49454
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Full,37009,23763
US-Mexico Border,05/01/2013 12:00:00 AM,Rail Containers Empty,31148,28190
US-Canada Border,05/01/2013 12:00:00 AM,Train Passengers,27490,20272
US-Mexico Border,05/01/2013 12:00:00 AM,Buses,17577,20864
US-Canada Border,05/01/2013 12:00:00 AM,Buses,10706,12268
US-Canada Border,05/01/2013 12:00:00 AM,Trains,2696,2597
US-Mexico Border,05/01/2013 12:00:00 AM,Trains,805,677
US-Mexico Border,05/01/2013 12:00:00 AM,Train Passengers,388,1089
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,9644776,14953446
US-Mexico Border,04/01/2013 12:00:00 AM,Personal Vehicles,5414131,6672777
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicle Passengers,4368031,5876348
US-Mexico Border,04/01/2013 12:00:00 AM,Pedestrians,3351788,3745949
US-Canada Border,04/01/2013 12:00:00 AM,Personal Vehicles,2441118,2720253
US-Canada Border,04/01/2013 12:00:00 AM,Trucks,491163,519260
US-Mexico Border,04/01/2013 12:00:00 AM,Trucks,470867,370567
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Full,357578,385977
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Full,321503,222622
US-Mexico Border,04/01/2013 12:00:00 AM,Bus Passengers,227568,261971
US-Canada Border,04/01/2013 12:00:00 AM,Bus Passengers,204930,300542
US-Mexico Border,04/01/2013 12:00:00 AM,Truck Containers Empty,138458,141086
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Full,128428,99322
US-Canada Border,04/01/2013 12:00:00 AM,Truck Containers Empty,118488,77250
US-Canada Border,04/01/2013 12:00:00 AM,Rail Containers Empty,61226,38352
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Full,33486,23716
US-Mexico Border,04/01/2013 12:00:00 AM,Rail Containers Empty,32456,28169
US-Canada Border,04/01/2013 12:00:00 AM,Pedestrians,27212,49561
US-Mexico Border,04/01/2013 12:00:00 AM,Buses,16775,20884
US-Canada Border,04/01/2013 12:00:00 AM,Train Passengers,14097,20301
US-Canada Border,04/01/2013 12:00:00 AM,Buses,7435,12292
US-Canada Border,04/01/2013 12:00:00 AM,Trains,2525,2598
US-Mexico Border,04/01/2013 12:00:00 AM,Trains,754,677
US-Mexico Border,04/01/2013 12:00:00 AM,Train Passengers,386,1092
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,10246838,14976294
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicles,5545763,6678248
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,5043062,5880393
US-Mexico Border,03/01/2013 12:00:00 AM,Pedestrians,3631710,3746503
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicles,2625752,2720712
US-Canada Border,03/01/2013 12:00:00 AM,Trucks,469482,519502
US-Mexico Border,03/01/2013 12:00:00 AM,Trucks,429118,370283
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Full,337565,386212
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Full,301659,222238
US-Mexico Border,03/01/2013 12:00:00 AM,Bus Passengers,280591,261881
US-Canada Border,03/01/2013 12:00:00 AM,Bus Passengers,155080,301248
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Full,132645,99161
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Empty,125227,141163
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Empty,113800,77072
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Empty,66338,38216
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Full,39194,23641
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Empty,32227,28150
